OrderId,OrderDate,SKU,ProductName,Category,Quantity,UnitPrice,Discount,FinalUnitPrice,LineTotal,Status,Region
ORD-0001,2025-03-23,SKU009,Kids' School Polo 2-Pack,Childrenswear,2,12.0,0,12.0,24.0,Delivered,Yorkshire
ORD-0002,2025-03-28,SKU018,Kids' Wellies,Footwear,1,20.0,0,20.0,20.0,Dispatched,Norwich
ORD-0002,2025-03-28,SKU003,Kids' Puffer Jacket,Childrenswear,1,28.0,0,28.0,28.0,Dispatched,Norwich
ORD-0003,2025-01-30,SKU001,Men's Slim Fit Jeans,Menswear,4,32.0,0,32.0,128.0,Cancelled,Yorkshire
ORD-0003,2025-01-30,SKU018,Kids' Wellies,Footwear,4,20.0,0,20.0,80.0,Cancelled,Yorkshire
ORD-0004,2025-01-01,SKU006,Velvet Cushion Cover,Home,2,14.0,0,14.0,28.0,Delivered,Edinburgh
ORD-0004,2025-01-01,SKU014,Cotton Bedding Set Double,Home,3,35.0,0,35.0,105.0,Delivered,Edinburgh
ORD-0005,2025-01-12,SKU012,Men's Wool Coat,Menswear,3,89.0,0,89.0,267.0,Returned,Edinburgh
ORD-0006,2025-02-28,SKU013,Baby Sleepsuit 3-Pack,Childrenswear,3,16.0,0,16.0,48.0,Delivered,Liverpool
ORD-0006,2025-02-28,SKU003,Kids' Puffer Jacket,Childrenswear,1,28.0,0,28.0,28.0,Delivered,Liverpool
ORD-0007,2025-03-26,SKU010,Scented Candle Set,Home,1,18.0,0.15,15.3,15.3,Delivered,London
ORD-0008,2025-02-05,SKU012,Men's Wool Coat,Menswear,3,89.0,0,89.0,267.0,Delivered,Manchester
ORD-0009,2025-03-27,SKU003,Kids' Puffer Jacket,Childrenswear,2,28.0,0.25,21.0,42.0,Cancelled,Norwich
ORD-0010,2025-02-01,SKU013,Baby Sleepsuit 3-Pack,Childrenswear,2,16.0,0.1,14.4,28.8,Cancelled,Bristol
ORD-0011,2025-01-08,SKU002,Women's Floral Dress,Womenswear,3,45.0,0,45.0,135.0,Dispatched,Edinburgh
ORD-0012,2025-01-28,SKU019,Faux Fur Throw,Home,4,42.0,0,42.0,168.0,Dispatched,Newcastle
ORD-0012,2025-01-28,SKU011,Women's Running Trainers,Footwear,3,52.0,0,52.0,156.0,Dispatched,Newcastle
